CMS Certification Number (CCN),Facility Name,Address Line 1,Address Line 2,City,State,Zip Code,County Name,PhoneNumber,CMS Region,Ownership Type,Certification Date,Total Number of Beds,Location
362026,SELECT SPECIALTY HOSPITAL- CLEVELAND FAIRHILL,11900 FAIRHILL ROAD,,CLEVELAND,OH,44120,Cuyahoga,(216) 983-8011,5,For profit,10/01/2000,119,"11900 FAIRHILL ROAD CLEVELAND, OH 44120 (41.493125, -81.600124)"
372009,"SELECT SPECIALTY HOSPITAL - OKLAHOMA CITY, INC",3524 NORTHWEST 56TH STREET,,OKLAHOMA CITY,OK,73112,Oklahoma,(405) 606-6700,6,For profit,02/01/1996,72,"3524 NORTHWEST 56TH STREET OKLAHOMA CITY, OK 73112 (35.527957, -97.579816)"
052052,KINDRED HOSPITAL RIVERSIDE,2224 MEDICAL CENTER DRIVE,,PERRIS,CA,92571,Riverside,(951) 436-3535,9,For profit,01/01/2008,40,"2224 MEDICAL CENTER DRIVE PERRIS, CA 92571 (33.812888, -117.221716)"
142013,GREATER PEORIA SPECIALTY HOSPITAL,500 W ROMEO B GARRETT AVENUE,,PEORIA,IL,61605,Peoria,(309) 680-1500,5,Non-profit,05/01/2010,50,"500 W ROMEO B GARRETT AVENUE PEORIA, IL 61605 (40.693413, -89.601429)"
372005,EDMOND - AMG SPECIALTY HOSPITAL,"4300 W MEMORIAL RD, 2ND FL",,OKLAHOMA CITY,OK,73120,Oklahoma,(405) 341-5617,6,For profit,06/01/1993,37,"4300 W MEMORIAL RD, 2ND FL OKLAHOMA CITY, OK 73120 (35.609026, -97.599625)"
372012,INSPIRE SPECIALTY HOSPITAL,8210 NATIONAL AVENUE,,MIDWEST CITY,OK,73110,Oklahoma,(405) 739-0800,6,For profit,05/31/1998,31,"8210 NATIONAL AVENUE MIDWEST CITY, OK 73110 (35.46637, -97.385668)"
332006,CALVARY HOSPITAL INC,1740 - 70 EASTCHESTER R0AD,,BRONX,NY,10461,Bronx,(718) 863-6900,2,Non-profit,07/01/1966,225,
452110,SAGECREST HOSPITAL - GRAPEVINE,4201 WILLIAM D TATE AVENUE,,GRAPEVINE,TX,76051,Tarrant,(817) 288-1300,6,For profit,09/01/2008,60,"4201 WILLIAM D TATE AVENUE GRAPEVINE, TX 76051 (32.890661, -97.098539)"
502002,KINDRED HOSPITAL-SEATTLE,10631 8TH AVE NE,,SEATTLE,WA,98125,King,(206) 364-2050,10,For profit,01/01/1995,80,"10631 8TH AVE NE SEATTLE, WA 98125 (47.706733, -122.320491)"
152020,"ST VINCENT SETON SPECIALTY HOSPITAL, INDIANAPOLIS",8050 TOWNSHIP LINE RD,,INDIANAPOLIS,IN,46260,Marion,(317) 415-8500,5,Non-profit,02/08/2003,74,"8050 TOWNSHIP LINE RD INDIANAPOLIS, IN 46260 (39.901678, -86.203008)"
412001,ELEANOR SLATER HOSPITAL,111 HOWARD AVE,,CRANSTON,RI,02921,Providence,(401) 462-1525,1,Government,07/01/1966,495,"111 HOWARD AVE CRANSTON, RI 02921 (41.743742, -71.46388)"
192035,LOUISIANA EXTENDED CARE HOSPITAL OF NATCHITOCHES,501 KEYSER AVE 4TH FLOOR,,NATCHITOCHES,LA,71457,Natchitoches,(318) 354-2044,6,For profit,03/28/2002,21,"501 KEYSER AVE 4TH FLOOR NATCHITOCHES, LA 71457 (31.753563, -93.079253)"
362028,LIFE CARE HOSPITALS OF DAYTON,4000 MIAMISBURG-CENTERVILLE ROAD,,MIAMISBURG,OH,45342,Montgomery,(937) 384-8300,5,Non-profit,09/01/2001,44,"4000 MIAMISBURG-CENTERVILLE ROAD MIAMISBURG, OH 45342 (39.63982, -84.25126)"
132001,NORTHERN IDAHO ADVANCED CARE HOSPITAL,600 NORTH CECIL ROAD,,POST FALLS,ID,83854,Kootenai,(208) 262-2800,10,For profit,10/01/2006,40,"600 NORTH CECIL ROAD POST FALLS, ID 83854 (47.713249, -116.905074)"
102020,SELECT SPECIALTY HOSPITAL - TALLAHASSEE,1554 SURGEONS DR,,TALLAHASSEE,FL,32308,Leon,(850) 219-6800,4,For profit,03/01/2008,29,"1554 SURGEONS DR TALLAHASSEE, FL 32308 (30.459786, -84.255223)"
342021,CAROLINAS CONTINUECARE HOSPITAL AT UNIVERSITY,8800 NORTH TRYON STREET,,CHARLOTTE,NC,28262,Mecklenburg,(704) 863-8300,4,Non-profit,12/22/2015,35,"8800 NORTH TRYON STREET CHARLOTTE, NC 28262 (35.307836, -80.747985)"
362031,SELECT SPECIALTY HOSPITAL SOUTHEAST OHIO,"200 TAMARACK ROAD, 2ND FLOOR",,NEWARK,OH,43055,Licking,(740) 588-7888,5,For profit,04/01/2004,35,
232012,SELECT SPECIALTY HOSPITAL-FLINT,"401 S BALLENGER, 5TH FLOOR",,FLINT,MI,48532,Genesee,(810) 342-4550,5,For profit,02/01/1998,36,
342017,ASHEVILLE SPECIALTY HOSPITAL,428 BILTMORE AVENUE 4TH FLOOR,,ASHEVILLE,NC,28802,Buncombe,(828) 213-1127,4,For profit,11/01/2003,34,"428 BILTMORE AVENUE 4TH FLOOR ASHEVILLE, NC 28802 (35.580892, -82.550832)"
162003,SELECT SPECIALTY HOSPITAL - DES MOINES,"1111 6TH AVENUE, 4TH FLOOR MAIN",,DES MOINES,IA,50314,Polk,(515) 247-4400,7,For profit,01/01/2015,30,"1111 6TH AVENUE, 4TH FLOOR MAIN DES MOINES, IA 50314 (41.599577, -93.625702)"
452046,PLAZA SPECIALTY HOSPITAL,1300 BINZ,,HOUSTON,TX,77004,Harris,(713) 285-1000,6,For profit,01/01/1995,65,"1300 BINZ HOUSTON, TX 77004 (29.723959, -95.386544)"
192016,SPECIALTY HOSPITAL,"309 JACKSON STREET, 7TH FLOOR",,MONROE,LA,71201,Ouachita,(318) 966-4126,6,For profit,07/01/1995,32,"309 JACKSON STREET, 7TH FLOOR MONROE, LA 71201 (32.499732, -92.11479)"
442011,SELECT SPECIALTY HOSPITAL-NASHVILLE,2000 HAYES STREET,,NASHVILLE,TN,37203,Davidson,(615) 284-4599,4,For profit,05/01/1996,70,"2000 HAYES STREET NASHVILLE, TN 37203 (36.15224, -86.800347)"
342013,LIFECARE HOSPITALS OF NC,1031 NOELL LANE,,ROCKY MOUNT,NC,27804,Nash,(252) 451-2300,4,For profit,07/01/2000,50,"1031 NOELL LANE ROCKY MOUNT, NC 27804 (35.97481, -77.819908)"
392031,SELECT SPECIALTY HOSPITAL - JOHNSTOWN,320 MAIN STREET,,JOHNSTOWN,PA,15901,Cambria,(814) 534-7300,3,Non-profit,05/01/1999,39,"320 MAIN STREET JOHNSTOWN, PA 15901 (40.326417, -78.920885)"
192022,RUSTON REGIONAL SPECIALTY HOSPITAL,1401 EZELL STREET,,RUSTON,LA,71270,Lincoln,(318) 251-3126,6,For profit,07/01/1997,55,"1401 EZELL STREET RUSTON, LA 71270 (32.513851, -92.632387)"
452044,LIFECARE HOSPITALS OF DALLAS,1950 RECORD CROSSING,,DALLAS,TX,75235,Dallas,(214) 525-6300,6,For profit,09/16/1994,206,"1950 RECORD CROSSING DALLAS, TX 75235 (32.817559, -96.848901)"
362022,"SELECT SPECIALTY HOSPITAL-COLUMBUS, INC","1087 DENNISON AVENUE, 2ND FLOOR",,COLUMBUS,OH,43201,Franklin,(614) 458-9000,5,Non-profit,09/01/1999,186,"1087 DENNISON AVENUE, 2ND FLOOR COLUMBUS, OH 43201 (39.983901, -83.008429)"
012009,"NOLAND HOSPITAL BIRMINGHAM II, LLC",50 MEDICAL PARK EAST DRIVE 8TH FLOOR,,BIRMINGHAM,AL,35235,Jefferson,(205) 838-5100,4,Government,03/27/2003,45,"50 MEDICAL PARK EAST DRIVE 8TH FLOOR BIRMINGHAM, AL 35235 (33.595351, -86.665182)"
452042,CHRISTUS DUBUIS HOSPITAL OF BEAUMONT,2830 CALDER AVENUE 4TH FLOOR,,BEAUMONT,TX,77702,Jefferson,(409) 899-7680,6,Non-profit,07/01/1994,53,"2830 CALDER AVENUE 4TH FLOOR BEAUMONT, TX 77702 (30.085583, -94.131702)"
362016,"SELECT SPECIALTY HOSPITAL-NORTHEAST OHIO, INC","1320 MERCY DRIVE, 6TH FLOOR",,CANTON,OH,44708,Stark,(330) 489-8198,5,For profit,03/01/1997,61,"1320 MERCY DRIVE, 6TH FLOOR CANTON, OH 44708 (40.812321, -81.397069)"
112004,"SELECT SPECIALTY HOSPITAL - MIDTOWN ATLANTA, LLC","705 JUNIPER STREET, NE",,ATLANTA,GA,30308,Fulton,(404) 873-2871,4,For profit,04/30/1991,72,"705 JUNIPER STREET, NE ATLANTA, GA 30308 (33.774224, -84.383124)"
232024,SELECT SPECIALTY HOSPITAL-ANN ARBOR,"5301 E HURON RIVER DR, 7TH FL",,YPSILANTI,MI,48197,Washtenaw,(734) 712-0500,5,For profit,05/01/1999,36,"5301 E HURON RIVER DR, 7TH FL YPSILANTI, MI 48197 (42.261803, -83.659819)"
052046,PROMISE HOSPITAL OF EAST LOS ANGELES,16453  COLORADO AVENUE,,PARAMOUNT,CA,90723,Los Angeles,(562) 531-3110,9,For profit,09/27/1995,177,"16453  COLORADO AVENUE PARAMOUNT, CA 90723 (33.885082, -118.161428)"
222023,WESTERN MASSACHUSETTS HOSPITAL,91 EAST MOUNTAIN ROAD,,WESTFIELD,MA,01085,Hampden,(413) 562-4131,1,Government,07/01/1966,102,"91 EAST MOUNTAIN ROAD WESTFIELD, MA 01085 (42.110717, -72.701799)"
462005,UTAH VALLEY SPECIALTY HOSPITAL,306 WEST RIVER BEND LANE,,PROVO,UT,84604,Utah,(801) 226-8880,8,For profit,07/01/2007,40,"306 WEST RIVER BEND LANE PROVO, UT 84604 (40.304919, -111.66207)"
372004,CURAHEALTH OKLAHOMA,1407 NORTH ROBINSON AVENUE,,OKLAHOMA CITY,OK,73103,Oklahoma,(405) 232-8000,6,For profit,10/01/1993,93,"1407 NORTH ROBINSON AVENUE OKLAHOMA CITY, OK 73103 (35.482885, -97.515919)"
342014,HIGHSMITH RAINEY MEMORIAL HOSPITAL,150 ROBESON STREET 4TH FLOOR,,FAYETTEVILLE,NC,28301,Cumberland,(910) 609-6700,4,Non-profit,02/01/2003,112,"150 ROBESON STREET 4TH FLOOR FAYETTEVILLE, NC 28301 (35.054068, -78.887479)"
182002,"CONTINUING CARE HOSPITAL, INC",ONE SAINT JOSEPH DRIVE,,LEXINGTON,KY,40504,Fayette,(859) 268-4800,4,Non-profit,02/27/2002,57,
452086,POST ACUTE MEDICAL SPECIALTY HOSPITAL CORPUS CH,600 ELIZABETH STREET 3RD FLOOR,,CORPUS CHRISTI,TX,78404,Nueces,(361) 881-3223,6,For profit,04/01/2004,41,"600 ELIZABETH STREET 3RD FLOOR CORPUS CHRISTI, TX 78404 (27.777489, -97.395121)"
192008,SAGE SPECIALTY CARE HOSPITAL,8375 FLORIDA BLVD,,DENHAM SPRINGS,LA,70726,Livingston,(225) 665-2664,6,For profit,01/01/1993,85,"8375 FLORIDA BLVD DENHAM SPRINGS, LA 70726 (30.482858, -90.918946)"
462003,SPECIALTY HOSPITAL OF UTAH,401 SOUTH 400 EAST,,BOUNTIFUL,UT,84010,Davis,(801) 295-2361,8,Non-profit,04/01/1982,16,"401 SOUTH 400 EAST BOUNTIFUL, UT 84010 (40.884928, -111.872356)"
292007,LAS VEGAS-AMG SPECIALTY HOSPITAL,4015 SOUTH MCLEOD,,LAS VEGAS,NV,89121,Clark,(702) 433-2200,9,For profit,01/01/2004,24,
192037,HOUMA - AMG SPECIALTY HOSPITAL,629 DUNN STREET,,HOUMA,LA,70360,Terrebonne,(985) 274-0001,6,For profit,05/31/2002,40,"629 DUNN STREET HOUMA, LA 70360 (29.592795, -90.712408)"
062017,NORTHERN COLORADO LONG TERM ACUTE HOSP - LONG TERM,4401A UNION STREET,,JOHNSTOWN,CO,80534,Larimer,(970) 619-3663,8,For profit,03/01/2009,20,"4401A UNION STREET JOHNSTOWN, CO 80534 (40.405436, -104.971293)"
102018,COMPLEX CARE HOSPITAL AT RIDGELAKE,6150 EDGELAKE DR,,SARASOTA,FL,34240,Sarasota,(941) 342-3200,4,Non-profit,04/01/2006,40,"6150 EDGELAKE DR SARASOTA, FL 34240 (27.302053, -82.445847)"
442016,SELECT SPECIALTY HOSPITAL-TRICITIES,"ONE MEDICAL PARK BOULEVARD, 5TH FLOOR",,BRISTOL,TN,37620,Sullivan,(423) 844-5900,4,For profit,11/01/2000,33,
042009,REGENCY HOSPITAL OF NORTHWEST ARKANSAS,609 WEST MAPLE AVENUE,,SPRINGDALE,AR,72764,Washington,(479) 713-7000,6,For profit,11/25/2003,25,"609 WEST MAPLE AVENUE SPRINGDALE, AR 72764 (36.181394, -94.136464)"
452041,CARRUS SPECIALTY HOSPITAL,1810 WEST HIGHWAY 82,,SHERMAN,TX,75092,Grayson,(903) 416-4441,6,Physician,07/01/1994,33,"1810 WEST HIGHWAY 82 SHERMAN, TX 75092 (33.67073, -96.63466)"
212003,DEER'S HEAD CENTER,315 DEER'S HEAD HOSPITAL ROAD,,SALISBURY,MD,21802,Wicomico,(410) 543-4010,3,Government,06/26/1991,66,"315 DEER'S HEAD HOSPITAL ROAD SALISBURY, MD 21802 (38.383291, -75.593432)"
142008,KINDRED HOSPITAL - CHICAGO,365 E NORTH AVE,,NORTHLAKE,IL,60164,Cook,(773) 267-2620,5,For profit,02/01/1992,258,"365 E NORTH AVE NORTHLAKE, IL 60164 (41.9072, -87.889331)"
452022,SELECT SPECIALTY HOSPITAL-DALLAS,2329 PARKER ROAD,,CARROLLTON,TX,75010,Denton,(972) 884-2407,6,Non-profit,11/30/1991,60,"2329 PARKER ROAD CARROLLTON, TX 75010 (33.07394, -96.89252)"
442014,SELECT SPECIALTY HOSPITAL MEMPHIS,5959 PARK AVENUE,,MEMPHIS,TN,38119,Shelby,(901) 765-1245,4,For profit,12/01/1997,30,"5959 PARK AVENUE MEMPHIS, TN 38119 (35.099901, -89.864516)"
442006,CURAHEALTH NASHVILLE,"1412 COUNTY HOSPITAL ROAD, B-1",,NASHVILLE,TN,37218,Davidson,(615) 687-2600,4,Non-profit,07/01/1987,60,"1412 COUNTY HOSPITAL ROAD, B-1 NASHVILLE, TN 37218 (36.182856, -86.849349)"
072004,HOSPITAL FOR SPECIAL CARE,2150 CORBIN AVE,,NEW BRITAIN,CT,06050,Hartford,(860) 223-2761,1,Non-profit,07/01/1966,228,"2150 CORBIN AVE NEW BRITAIN, CT 06050 (41.689439, -72.799163)"
102023,SELECT SPECIALTY HOSPITAL-PALM BEACH,3060 MELALEUCA LANE,,LAKE WORTH,FL,33461,Palm Beach,(561) 357-7200,4,For profit,12/01/2008,60,"3060 MELALEUCA LANE LAKE WORTH, FL 33461 (26.609602, -80.090614)"
352004,VIBRA HOSPITAL OF FARGO,5225 23RD AVE S,,FARGO,ND,58104,Cass,(701) 241-9099,8,For profit,10/02/1998,31,"5225 23RD AVE S FARGO, ND 58104 (46.843983, -96.876534)"
252006,REGENCY HOSPITAL OF MERIDIAN,"1102 CONSTITUTION AVENUE, 2ND FLOOR",,MERIDIAN,MS,39301,Lauderdale,(601) 484-7900,4,For profit,08/01/2003,40,"1102 CONSTITUTION AVENUE, 2ND FLOOR MERIDIAN, MS 39301 (32.36779, -88.699315)"
292008,CARSON TAHOE CONTINUING CARE HOSPITAL,775 FLEISCHMANN WAY 2ND FLR,,CARSON CITY,NV,89703,Carson City,(775) 445-7783,9,Non-profit,03/01/2009,29,"775 FLEISCHMANN WAY 2ND FLR CARSON CITY, NV 89703 (39.171737, -119.772622)"
452059,LIFECARE HOSPITAL OF SAN ANTONIO,8902 FLOYD CURL DRIVE,,SAN ANTONIO,TX,78240,Bexar,(210) 690-7000,6,For profit,09/01/1998,62,"8902 FLOYD CURL DRIVE SAN ANTONIO, TX 78240 (29.526324, -98.590712)"
042006,SELECT SPECIALITY HOSPITAL-FORT SMITH INC,1001 TOWSON AVENUE,,FORT SMITH,AR,72901,Sebastian,(479) 441-3960,6,For profit,09/01/2001,34,"1001 TOWSON AVENUE FORT SMITH, AR 72901 (35.374527, -94.421311)"
512003,CORNERSTONE HOSPITAL OF HUNTINGTON,"2900 FIRST AVENUE, 2E",,HUNTINGTON,WV,25702,Cabell,(304) 399-2600,3,For profit,11/01/2005,28,"2900 FIRST AVENUE, 2E HUNTINGTON, WV 25702 (38.431833, -82.401335)"
192013,CORNERSTONE HOSPITAL SOUTHWEST LOUISIANA,"524 DR MICHAEL DEBAKEY DRIVE, 3RD FLOOR",,LAKE CHARLES,LA,70601,Calcasieu,(337) 310-6033,6,For profit,03/01/1995,33,"524 DR MICHAEL DEBAKEY DRIVE, 3RD FLOOR LAKE CHARLES, LA 70601 (30.215437, -93.22767)"
452080,KINDRED HOSPITAL SUGAR LAND,1550 FIRST COLONY BOULEVARD,,SUGAR LAND,TX,77479,Fort Bend,(281) 275-6000,6,For profit,03/01/2003,171,"1550 FIRST COLONY BOULEVARD SUGAR LAND, TX 77479 (29.60002, -95.637087)"
452091,TYLER CONTINUECARE HOSPITAL (AT MOTHER FRANCES),800 EAST DAWSON 4TH FLOOR,,TYLER,TX,75701,Smith,(903) 531-4942,6,Non-profit,06/02/2004,51,
052039,KINDRED HOSPITAL BREA,875 N BREA BLVD,,BREA,CA,92821,Orange,(714) 529-6842,9,For profit,12/01/1995,48,"875 N BREA BLVD BREA, CA 92821 (33.933665, -117.893515)"
452095,SOLARA HOSPITAL MCALLEN,301 WEST EXPRESSWAY 83-8TH FLOOR,,MC ALLEN,TX,78503,Hidalgo,(956) 632-4880,6,For profit,10/01/2005,53,"301 WEST EXPRESSWAY 83-8TH FLOOR MC ALLEN, TX 78503 (26.188113, -98.225522)"
222027,NEW ENGLAND SINAI HOSPITAL,150 YORK STREET,,STOUGHTON,MA,02072,Norfolk,(781) 364-4850,1,Non-profit,04/30/1976,212,"150 YORK STREET STOUGHTON, MA 02072 (42.143449, -71.097907)"
032002,CURAHEALTH TUCSON,355 NORTH WILMOT ROAD,,TUCSON,AZ,85711,Pima,(520) 584-4500,9,For profit,11/01/1994,51,"355 NORTH WILMOT ROAD TUCSON, AZ 85711 (32.225469, -110.858031)"
102027,KINDRED HOSPITAL MELBOURNE,765 W NASA BLVD,,MELBOURNE,FL,32901,Brevard,(321) 733-5725,4,For profit,08/01/2010,60,"765 W NASA BLVD MELBOURNE, FL 32901 (28.093788, -80.631726)"
232034,ASCENSION BORGESS PIPP HOSPITAL,411 NAOMI STREET,,PLAINWELL,MI,49080,Allegan,(269) 685-0700,5,Non-profit,07/01/2003,43,"411 NAOMI STREET PLAINWELL, MI 49080 (42.446633, -85.65286)"
452038,TEXAS NEURO REHABILITATION CENTER,1106 W DITTMAR,,AUSTIN,TX,78745,Travis,(512) 444-4835,6,For profit,07/01/1994,47,"1106 W DITTMAR AUSTIN, TX 78745 (30.185737, -97.804457)"
192040,"SOUTHEAST REGIONAL MEDICAL CENTER, INC",719 AVENUE G,,KENTWOOD,LA,70444,Tangipahoa,(985) 229-9193,6,Non-profit,08/13/2001,14,"719 AVENUE G KENTWOOD, LA 70444 (30.936752, -90.519252)"
062011,CRAIG HOSPITAL,3425 SOUTH CLARKSON STREET,,ENGLEWOOD,CO,80113,Arapahoe,(303) 789-8000,8,Non-profit,10/01/1992,93,"3425 SOUTH CLARKSON STREET ENGLEWOOD, CO 80113 (39.654106, -104.978246)"
362035,ACUITY SPECIALTY HOSPITAL OHIO VALLEY,"4697 HARRISON STREET, 2ND FLOOR",,BELLAIRE,OH,43906,Belmont,(740) 671-2086,5,For profit,04/01/2006,72,"4697 HARRISON STREET, 2ND FLOOR BELLAIRE, OH 43906 (40.029885, -80.740897)"
252009,REGENCY HOSPITAL OF HATTIESBURG,6051 US HIGHWAY 49 5TH FLOOR,,HATTIESBURG,MS,39404,Forrest,(601) 288-8510,4,Government,06/01/2004,33,"6051 US HIGHWAY 49 5TH FLOOR HATTIESBURG, MS 39404 (31.319256, -89.328378)"
152012,KINDRED HOSPITAL NORTHWEST INDIANA,5454 HOHMAN AVE  5TH FL,,HAMMOND,IN,46320,Lake,(219) 852-5305,5,For profit,09/01/1996,70,"5454 HOHMAN AVE  5TH FL HAMMOND, IN 46320 (41.614505, -87.522018)"
452106,PAM SPECIALTY HOSPITAL OF NEW BRAUNFELS,1445 HANZ DRIVE,,NEW BRAUNFELS,TX,78130,Comal,(830) 627-7600,6,For profit,05/01/2008,40,"1445 HANZ DRIVE NEW BRAUNFELS, TX 78130 (29.727604, -98.100834)"
112016,"REGENCY HOSPITAL COMPANY OF MACON, LLC",535 COLISEUM DRIVE,,MACON,GA,31217,Bibb,(478) 803-7300,4,For profit,11/01/2004,34,"535 COLISEUM DRIVE MACON, GA 31217 (32.847481, -83.616679)"
262018,KINDRED HOSPITAL NORTHLAND,500 NW 68TH STREET,,KANSAS CITY,MO,64118,Clay,(816) 420-6300,7,For profit,05/06/2008,35,"500 NW 68TH STREET KANSAS CITY, MO 64118 (39.218119, -94.585534)"
282000,MADONNA REHABILITATION SPECIALTY HOSPITAL LINCOLN,5401 SOUTH ST,,LINCOLN,NE,68506,Lancaster,(402) 413-3000,7,Non-profit,07/01/1984,96,"5401 SOUTH ST LINCOLN, NE 68506 (40.791637, -96.647214)"
152025,CENTRAL INDIANA  AMG SPECIALTY HOSPITAL LLC,2401 W UNIVERSITY AVE 5TH FLOOR EAST TOWER,,MUNCIE,IN,47303,Delaware,(765) 751-5253,5,For profit,02/16/2005,32,
522008,SELECT SPECIALTY HOSPITAL MADISON,801 BRAXTON PLACE,,MADISON,WI,53715,Dane,(608) 260-2700,5,For profit,06/01/2007,23,"801 BRAXTON PLACE MADISON, WI 53715 (43.066283, -89.399724)"
372019,CORNERSTONE SPECIALTY HOSPITALS SHAWNEE,"1900 GORDON COOPER DRIVE, 2ND FLOOR",,SHAWNEE,OK,74801,Pottawatomie,(405) 395-5800,6,Non-profit,09/01/2005,34,"1900 GORDON COOPER DRIVE, 2ND FLOOR SHAWNEE, OK 74801 (35.297665, -96.92593)"
052054,MONROVIA MEMORIAL HOSPITAL,323 SOUTH HELIOTROPE AVENUE,,MONROVIA,CA,91016,Los Angeles,(626) 359-9341,9,For profit,05/01/2009,49,"323 SOUTH HELIOTROPE AVENUE MONROVIA, CA 91016 (34.148733, -117.992155)"
372017,LANE FROST HEALTH AND REHABILITATION CENTER,2815 EAST JACKSON,,HUGO,OK,74743,Choctaw,(580) 326-9200,6,Non-profit,07/01/2004,60,"2815 EAST JACKSON HUGO, OK 74743 (34.001336, -95.482571)"
052034,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,2800 BENEDICT DRIVE,,SAN LEANDRO,CA,94577,Alameda,(510) 357-8300,9,For profit,01/29/1993,99,"2800 BENEDICT DRIVE SAN LEANDRO, CA 94577 (37.717533, -122.131991)"
392028,CURAHEALTH PITTSBURGH,7777 STEUBENVILLE PIKE,,OAKDALE,PA,15071,Allegheny,(412) 494-5500,3,For profit,07/01/1996,63,"7777 STEUBENVILLE PIKE OAKDALE, PA 15071 (40.440138, -80.209893)"
222043,VIBRA HOSPITAL OF SOUTHEASTERN MASSACHUSETTS,4499 ACUSHNET AVENUE,,NEW BEDFORD,MA,02745,Bristol,(508) 995-6900,1,For profit,01/01/1993,90,"4499 ACUSHNET AVENUE NEW BEDFORD, MA 02745 (41.740044, -70.943956)"
492001,LAKE TAYLOR TRANSITIONAL CARE HOSPITAL,1309 KEMPSVILLE ROAD,,NORFOLK,VA,23502,Norfolk City,(757) 461-5001,3,Government,07/01/1966,296,"1309 KEMPSVILLE ROAD NORFOLK, VA 23502 (36.867396, -76.204454)"
342018,SELECT SPECIALTY HOSPITAL DURHAM INC,3643 NORTH ROXBORO ROAD 6TH FLOOR,,DURHAM,NC,27704,Durham,(919) 470-9010,4,For profit,02/01/2004,30,"3643 NORTH ROXBORO ROAD 6TH FLOOR DURHAM, NC 27704 (36.037439, -78.897037)"
102001,SELECT SPECIALTY HOSPITAL-MIAMI,955 NW 3RD STREET 8TH FLOOR,,MIAMI,FL,33128,Miami-Dade,(305) 416-5700,4,For profit,09/01/2003,47,"955 NW 3RD STREET 8TH FLOOR MIAMI, FL 33128 (25.776551, -80.21065)"
172007,SELECT SPECIALTY HOSPITAL WICHITA,"929 NORTH ST FRANCIS, 6TH FLOOR, NORTH TOWER",,WICHITA,KS,67214,Sedgwick,(316) 962-3930,7,For profit,01/01/2001,48,
232037,SPARROW SPECIALTY HOSPITAL,"1215 E MICHIGAN AVE, 8W SPARROW HOSPITAL TOWER",,LANSING,MI,48912,Ingham,(517) 364-6800,5,Non-profit,01/01/2005,36,"1215 E MICHIGAN AVE, 8W SPARROW HOSPITAL TOWER LANSING, MI 48912 (42.733609, -84.534816)"
192041,ZACHARY - A M G SPECIALTY HOSPITAL,"4601 MCHUGH ROAD, BLDG B",,ZACHARY,LA,70791,East Baton Rouge,(225) 683-1600,6,For profit,01/10/2003,16,"4601 MCHUGH ROAD, BLDG B ZACHARY, LA 70791 (30.645758, -91.139308)"
052031,BARLOW RESPIRATORY HOSPITAL,2000 STADIUM WAY,,LOS ANGELES,CA,90026,Los Angeles,(213) 250-4200,9,Non-profit,09/01/1984,99,"2000 STADIUM WAY LOS ANGELES, CA 90026 (34.075878, -118.248646)"
012014,NORTH ALABAMA SPECIALTY HOSPITAL,"700 WEST MARKET STREET, 2ND FLOOR",,ATHENS,AL,35611,Limestone,(337) 269-9566,4,For profit,05/01/2016,31,"700 WEST MARKET STREET, 2ND FLOOR ATHENS, AL 35611 (34.803499, -86.977803)"
102029,PROMISE HOSPITAL OF FORT MYERS,3050 CHAMPION RING ROAD,,FORT MYERS,FL,33905,Lee,(708) 363-4925,4,For profit,09/01/2015,60,"3050 CHAMPION RING ROAD FORT MYERS, FL 33905 (26.630887, -81.802028)"
392033,GOOD SHEPHERD SPECIALTY HOSPITAL,2545 SCHOENERSVILLE ROAD,,BETHLEHEM,PA,18017,Lehigh,(484) 884-5051,3,Non-profit,07/01/2000,32,"2545 SCHOENERSVILLE ROAD BETHLEHEM, PA 18017 (40.645477, -75.405941)"
182009,CONTINUECARE HOSPITAL AT BAPTIST HLTH MADISONVILLE,"900 HOSPITAL DRIVE, 4TH FLOOR",,MADISONVILLE,KY,42431,Hopkins,(270) 825-5450,4,Non-profit,04/01/2016,35,"900 HOSPITAL DRIVE, 4TH FLOOR MADISONVILLE, KY 42431 (37.339177, -87.493845)"
102012,CURAHEALTH JACKSONVILLE LLC,4901 RICHARD ST,,JACKSONVILLE,FL,32207,Duval,(904) 737-3120,4,For profit,05/01/1993,107,"4901 RICHARD ST JACKSONVILLE, FL 32207 (30.271029, -81.616762)"
292006,COMPLEX CARE HOSPITAL AT TENAYA,2500 TENAYA WAY,,LAS VEGAS,NV,89128,Clark,(702) 562-2021,9,For profit,01/01/2002,70,"2500 TENAYA WAY LAS VEGAS, NV 89128 (36.205523, -115.251416)"
362038,ADVANCED SPECIALTY HOSPITAL OF TOLEDO,1015 GARDEN LAKE PARKWAY,,TOLEDO,OH,43614,Lucas,(419) 381-0037,5,For profit,03/01/2009,40,"1015 GARDEN LAKE PARKWAY TOLEDO, OH 43614 (41.619814, -83.59727)"
312023,ACUITY SPECIALTY HOSPITAL OF NEW JERSEY,1925 PACIFIC AVENUE 5TH FLOOR,,ATLANTIC CITY,NJ,08401,Atlantic,(609) 441-2122,2,For profit,06/01/2010,30,"1925 PACIFIC AVENUE 5TH FLOOR ATLANTIC CITY, NJ 08401 (39.357791, -74.433942)"
